run,bioproject,biosample,isoniazid,rifampicin,ethambutol,pyrazinamide,amikacin,capreomycin,kanamycin,moxifloxacin,levofloxacin
ERR7911319,PRJEB48275,SAMEA10029999,S,R,S,S,S,S,S,S,S
ERR7911320,PRJEB48275,SAMEA10030000,R,R,R,R,S,S,S,S,S
ERR7911321,PRJEB48275,SAMEA10030001,R,R,S,R,S,S,S,S,S
ERR7911322,PRJEB48275,SAMEA10030002,R,R,R,R,S,S,S,S,S
ERR7911471,PRJEB48275,SAMEA10030003,R,S,,R,S,S,S,S,S
ERR7911472,PRJEB48275,SAMEA10030004,R,R,,S,S,S,S,S,S
ERR7911474,PRJEB48275,SAMEA10030005,R,S,,R,S,S,S,S,S
ERR7911475,PRJEB48275,SAMEA10030006,S,S,,S,S,S,S,S,S
ERR7911476,PRJEB48275,SAMEA10030007,R,R,,R,S,S,S,S,S
ERR7911477,PRJEB48275,SAMEA10030008,R,R,,R,S,S,S,S,S
ERR7911478,PRJEB48275,SAMEA10030009,R,R,,R,S,S,S,S,S
ERR7911479,PRJEB48275,SAMEA10030010,R,R,,,S,S,S,S,S
ERR7911480,PRJEB48275,SAMEA10030011,R,R,,R,S,S,S,S,S
ERR7911481,PRJEB48275,SAMEA10030012,R,R,,R,S,S,S,S,S
ERR7911482,PRJEB48275,SAMEA10030013,R,R,,R,S,S,S,S,S
ERR7911483,PRJEB48275,SAMEA10030014,R,S,,R,S,S,S,S,S
ERR7911484,PRJEB48275,SAMEA10030015,R,R,,R,S,S,S,S,S
ERR7911485,PRJEB48275,SAMEA10030016,R,S,,S,S,S,S,S,S
ERR7911486,PRJEB48275,SAMEA10030017,R,R,,R,S,S,S,R,R
ERR7911487,PRJEB48275,SAMEA10030018,R,R,,R,S,S,S,S,S
ERR7911488,PRJEB48275,SAMEA10030019,R,R,,R,S,S,S,S,S
ERR7911489,PRJEB48275,SAMEA10030020,R,R,,R,S,S,S,S,S
ERR7911490,PRJEB48275,SAMEA10030021,R,R,,R,S,S,S,S,S
ERR7911491,PRJEB48275,SAMEA10030022,R,S,,S,S,S,S,R,R
ERR7911492,PRJEB48275,SAMEA10030023,R,R,,S,S,S,S,S,S
ERR7911493,PRJEB48275,SAMEA10030024,R,R,,S,S,S,S,R,R
ERR7911495,PRJEB48275,SAMEA10030025,R,R,,S,S,S,S,S,S
ERR7911496,PRJEB48275,SAMEA10030026,R,R,,S,S,S,S,S,S
ERR7911497,PRJEB48275,SAMEA10030027,R,R,,R,S,S,S,S,S
ERR7911498,PRJEB48275,SAMEA10030028,R,S,,S,S,S,S,S,S
ERR7911499,PRJEB48275,SAMEA10030029,R,R,,R,S,S,S,S,S
ERR7911500,PRJEB48275,SAMEA10030030,R,S,,S,S,S,R,S,S
ERR7911501,PRJEB48275,SAMEA10030031,R,R,,R,S,S,S,S,R
ERR7911502,PRJEB48275,SAMEA10030032,R,R,,S,S,S,S,S,S
ERR7911503,PRJEB48275,SAMEA10030033,R,R,,,S,S,S,S,S
ERR7911504,PRJEB48275,SAMEA10030034,R,R,,S,S,S,S,S,S
ERR7911505,PRJEB48275,SAMEA10030035,R,S,,,S,S,S,S,S
ERR7911506,PRJEB48275,SAMEA10030036,R,R,,R,S,S,S,S,S
ERR7911507,PRJEB48275,SAMEA10030037,R,S,,R,S,S,S,S,S
ERR7911508,PRJEB48275,SAMEA10030038,S,R,,S,S,S,S,S,S
ERR7911509,PRJEB48275,SAMEA10030039,R,R,,R,S,S,S,S,S
ERR7911510,PRJEB48275,SAMEA10030040,R,R,,S,S,S,S,S,S
ERR7911511,PRJEB48275,SAMEA10030041,R,R,,S,S,S,S,S,S
ERR7911512,PRJEB48275,SAMEA10030042,R,S,,R,S,S,S,R,R
ERR7911513,PRJEB48275,SAMEA10030043,R,R,,R,S,S,S,S,
ERR7911514,PRJEB48275,SAMEA10030044,R,R,,R,S,S,S,S,S
ERR7911515,PRJEB48275,SAMEA10030045,R,R,,,S,S,S,S,S
ERR7911516,PRJEB48275,SAMEA10030046,R,R,,R,S,S,S,S,S
ERR7911517,PRJEB48275,SAMEA10030047,R,R,,S,S,S,S,S,S
ERR7911518,PRJEB48275,SAMEA10030048,R,S,,R,S,S,S,S,S
ERR7911519,PRJEB48275,SAMEA10030049,R,R,,R,S,S,S,S,S
ERR7911520,PRJEB48275,SAMEA10030050,R,R,,S,S,S,S,S,S
ERR7911073,PRJEB48275,SAMEA10030051,R,R,,R,S,R,R,R,R
ERR7911075,PRJEB48275,SAMEA10030052,R,R,,R,S,S,S,S,S
